log_id,tester_id,entry_date,indication,solution,detector,solved_date
1724,786,7/21/2020 12:20,Tester EST2_1 PC does not boot up.,"IT Ticket ""4494279 - Testeri EST2_1 ei kaynnisty"" created. IT changed another compatible PC(NSN03001793) using running EST2_1 hard disc. Motherboard broke? IT will solve the reason.  Configuration checked, MRF-mapping done. TESU selftest PASSed.",Pekka Komulainen,7/21/2020 12:20
1717,786,4/1/2020 15:38,BackUp missing,BackUp image done by Anita,Pekka Komulainen,4/1/2020 15:38
1714,630,2/25/2020 9:41,Etuliitantaadapterin T32003.11_FrontIF kayttolaskuri tullut tayteen (700).,Liittimet todettu hyvakuntoisiksi ja laskuri nollattu.,JLa,2/25/2020 9:41
1713,630,2/5/2020 12:34,IP-trunk T33008.02...01 ja T33024.02...03 Mittauspositio 901 HW_CodeVers_Barc failaa tai palauttaa error,Fail => Yksikko ei vastaa. Joku piiriohjelmointi ehka pielessa tai vikaa kortissa. Error => Com4-portti jumissa. Useinmiten riittaa etta kayttaa irti PC:n usb-sarjaporttikaapelia (sin-harmaa usb kaapeli PC:n takana).,JLa,2/5/2020 12:34
1711,786,1/23/2020 10:17,Tester log created,Tester documentation founds: S:\SiteData\OUL1\EMS\TE\Common\Test Dev\Documents\Asiakasdokumentit\Electrical Safety Tester EST2,Pekka Komulainen,1/23/2020 10:17
1710,630,1/21/2020 14:48,Adapterikortin takaliittimen kayttolaskurin raja ylittynyt (1000) Dyna2 fix08  ,Vaihdettu uudet liittimet. UUT slot,JRu,1/21/2020 14:48
1703,595,11/27/2019 9:53,Kalibrointi ja yllapitohuolto,"Kone mekaniikat rasvattu KLH:n toimesta. vaihdettu kaikki probet, saatovipu rikki, tehty uudet kierteet. Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA2",M. Kallio,11/27/2019 9:53
1704,160,11/27/2019 9:53,Kalibrointi ja yllapitohuolto,"Powerlamppu rikki - vaihdettu, sensor probe jumissa - rasvattu, kone mekaniikat rasvattu KLH:n toimesta. vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA1",M. Kallio,11/27/2019 9:53
1700,630,11/5/2019 9:27,"HP194360830 trunk-kortin PASS-tiedot ei ole siirtynyt tietokantaan. Kortti failasi eka kerralla mittauksista: 000.404 .FrontPanelSDH                                     000.403 .ReadSystemStatus   RETEST oli PASS, mutta se ei nay tietokannassa. DST1 testerilla log tiedostoissa PASS loytyy 04Nov2019_130208.log","Testerilogista nakee, etta kortti on testattu Passiin. Mutta testeri ei ole onnistunut siirtamaan poytakirjaa mrf:lle verkkoon. Logista selviaa, ettei testeri-pc ole loytanyt verkkoasemaa ja yritys tallentaa c:lle ei ole onnistunut ""invalid directory, store result to secondary path"". Luultavasti Swift juminut verkkoyhteyden loytymattomyyteen. Joudutaan testaamaan tuote uudestaan DST1 ja DIT2.",Jouni Huttunen,11/5/2019 9:27
1697,776,10/30/2019 7:26,"TIEDOKSI:  Nurse Call Point Status 2 viittaa juuri siihen, etta joko hwid on varattu toiselle sarjanumerolle tai painvastoin. Naista tiedoista selvisi seuraavaa: - 427164 on kaytetty laitteelle, jonka hwid on 806FB0582A41. - Samalla id:lla on yritetty flassata laitteelle, jonka hwid 806FB0582A42 -> fail.  - 427030:lla on yritetty flashata hwid:lle 806FB0582A41, joka kuuluu siis 427164:lle -> fail.  ","Ilmeisesti on luettu vaaran laitteen koodi. Sita voi kokeilla kummankin laitteen kanssa. Jos tulee tuo error ja hwid:t ovat 806FB0582A41 ja 806FB0582A42, niin voin poistaa tuon 427164:n kannasta, jolloin virhekin poistuu. ",anita juntunen,10/30/2019 7:26
1695,776,10/23/2019 9:44,"Tiedoksi: Jos testerilla tulee ""409"" koodi viallista, sen takia etta on vaihdettu BT piiri (D101) flashayksen jalkeen.   Naiden sarjanumeroiden osalta pitaa   MAC:t nollata tietokannasta jotta voidaan testata uudestaan. (9S-tietokannasta, yhteys esim. Markku Rissanen tai Taneli Lauriala).",ok,anita juntunen,10/23/2019 9:44
1691,595,9/18/2019 13:13,"Testi pysahtelee satunnaisesti kesken, probe 1 pitaa kovaa aanta valilla liikkuessaan y akselissa ja antaa virhetta: PROBE 1 - The motor has unusual load","Moottorin ohjainyksikko moduli Y1 vaihdettu, alkoi toimia",M. Kallio,9/18/2019 13:13
1690,160,9/18/2019 13:10,"Virheilee testeissa, paljon retestia",vaihdetu kaikki probet - OK,M. Kallio,9/18/2019 13:10
1688,628,9/10/2019 7:03,ongelma T32007.12...04 failaa mittauksessa 301 Fan Alarm 1.FanAlarm1                              -MP- ,"Info, actions no needed",JHU,9/11/2019 9:28
1689,628,9/10/2019 11:42,T32007.12...04 fanit eivat toimi testerissa.(DIT1_1). Jaavat mittaukseen 301 Fan Alarm 1.FanAlarm1 ,"Mittauksessa kaytettavat johtimet mitattu, toimivat taivutettaessakin patkimatta. Johtimet kuitenkin lyhennetty arviodusta murtumakohdasta  (liittmen paasta). Jos uusiutuu lahiaikoina niin johtimet vaihdetaan.  Lisaksi tuettu johdinta taipumisen vahentamiseksi.",JRu,9/10/2019 11:42
1685,776,9/4/2019 9:31,TIEDOKSI:  Wall unit 3G FM (9S-NOD-03-07-01) KONKALLA oleva yksikko. Bluetooth piiri: D101 (CC2640R2FRGZ). 3G Wireless module D201 Cinterion EHS6-A.  Call-e Pine (9S-NOD-03-03-12) AKULLA oleva yksikko. Bluetooth piiri: D101 (CC2640R2FRGZ). 3G Wireless module D201 Cinterion EHS6-A.  Call unit 3G (9S-NOD-03-03-01)OHUEMPI akku. Bluetooth piiri D101 (CC2540F256RHA).3G Wireless module D201 Citerion EHS6-A.   ,ok,anita juntunen,9/4/2019 9:31
1684,736,9/4/2019 9:11,"Tiedoksi:  Companion Pro Tag (k) (9S-TAG-08-02-01)-->tassa (k) tarkoittaa keltaista tappia. Products: Companion Tag (9S-TAG-08-01) Companion Pro Tag (9S-TAG-08-02) Companion Pro Tag (k) (9S-TAG-08-02-01) Homecare Tag, rmb (9S-TAG-08-03-01) Call Button (9S-BUT-08-01) Reset Button (9S-BUT-08-02)  ","Info, actions no needed",anita juntunen,9/4/2019 9:12
1667,776,8/20/2019 11:05,"CSR-not found. CCU:n production testissa kaydaan lapi seuraavanlaista:  Production test verifies that Ethernet port, key USB connector and internal USB connection to CSR work. Production test only starts on CCU that is not installed.  Eli CSR not found johtuu siita, etta laite ei loyda CSR-chippia sisaisen usb-yhteyden kautta. ",Ainut keino on bootata laite ja koittaa uudelleen. Tama on kuulemma ollut aika yleinen vika.  Tikkuun tama ei liity.  Tata tutkitaan edelleen!!!!!,anita juntunen,8/20/2019 11:05
1653,630,6/7/2019 11:54,Lisatty testilaskurit fixture yllapitoa varten,-,JLa,6/7/2019 11:54
1652,628,6/5/2019 12:45,Lisatty testilaskuri fixture yllapitoa varten.,-,JLa,6/5/2019 12:45
1645,595,5/20/2019 15:05,kalibrointi ja yllapitohuolto,"Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA2, vaihdettu kaikki probet, vaihdettu uusi power lamppu viallisen tilalle",M. Kallio,5/20/2019 15:05
1644,160,5/20/2019 15:04,kalibrointi ja yllapitohuolto,"Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA1, vaihdettu kaikki probet",M. Kallio,5/20/2019 15:04
1616,595,3/26/2019 14:50,Testeri virheilee kaikilla tuotteilla,"Probet kuluneet, vaihdettu kaikki 4 probea.",O. Jarvela,3/26/2019 14:50
1615,160,3/26/2019 14:49,"Testaus ei toimi, virheilee ja lopettaa testaamisen.","probet #1, #3, ja #4 poikki, tuotteessa ollut liian korkea komponnetti rikkonut. vaihdettu probet, alkoi toimia. ",M. Paldanius,3/26/2019 14:49
1613,630,3/21/2019 15:08,T32004.01--08 FPGA-lataus toimii huonosti,Trunk sw kaynnistyminen hairitsee FPGA-latausta. Lisatty trunk sw pysaytys ennen FPGA-latausta 6.3.19,JLa,3/21/2019 15:08
1605,595,3/1/2019 16:06,"varmuuskopioitu ohjelmat verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA2",OK,M. Kallio,3/1/2019 16:06
1603,160,3/1/2019 16:05,"varmuuskopioitu ohjelmat verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA1",OK,M. Kallio,3/1/2019 16:05
1604,595,3/1/2019 16:05,mittavirheita usealla tuotteella,"probe 4 poikki, vaihdettu, alkoi toimia",M. Kallio,3/1/2019 16:05
1602,160,3/1/2019 16:04,Virheilee mittauksissa,"probe 4 vaihdettu, oli poikki",M. Kallio,3/1/2019 16:04
1595,628,2/18/2019 10:18,T32007.12--04 Id-kirjoitukset (esim Write Prod_Id) toimii huonosti,Id-kirjoituksiin lisatty luuppitestaus (enintaan 3 kertaa/testi),JLa,2/18/2019 10:18
1591,595,2/5/2019 11:20,"Probe 1 ei liiku Y akselilla ja antaa virheen Probe 1 moved to illegal area Y -1, siirtaa kuitenkin proben resetilla aloitusasentoon pitaen kovaa aanta.","Vika loytyi moottorin ohjainyksikosta josta oli palanut vastus ja veto poikki, korjattu - alkoi toimia ainakin toistaiseksi, tilattu kuitenkin 2 kpl moottoriohjainyksikoita varaosiksi ep-Teq:lta",M. Kallio,2/5/2019 11:20
1588,630,1/21/2019 8:41, Ei onnistu FPGA:n lataus ei edes reffikortissa, Latauskaapeli huonosti kiinni adapterilevyn nastarimassa.,JRu,1/21/2019 8:41
1587,630,1/21/2019 8:11,ongelma  T32002.01--AE FPGA lataus ei toimi.,Kuitataan vanhentunut ongelma pois,JHU,1/21/2019 8:12
1585,595,1/14/2019 14:31,"Pysahtyy kesken testin ja herjaa : The tester is now susbended as the safety system operated ! - remove the cause of the suspension, then depress Reset SW.","Kapistelty kaikki safety osioon liittyvat kytkimet ja johdinliitokset, seka 3 anturia, vaihdettu myos safety relay unit. Vian aiheuttajaa ei loytynyt, mutta alkoi nailla toimenpiteilla ainakin nyt toistaiseksi toimia.",M. Kallio,1/14/2019 14:31
1581,595,11/26/2018 17:47,kalibrointi ja yllapitohuolto,"Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA1, vaihdettu kaikki probet. Saadetty Y akselin valoanturia, Power lamppu rikki - vaihdettu, mekaniikat rasvattu",M. Kallio ja Kone&Laitehuolto,11/26/2018 17:47
1580,160,11/26/2018 17:45,kalibrointi ja yllapitohouolto,"Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA1, vaihdettu kaikki probet. rasvattu huonosti liikkuva open checker module, nyt OK. Power lamppu rikki - vaihdettu, mekaniikat rasvattu",M. Kallio ja Kone&Laitehuolto,11/26/2018 17:45
1574,628,11/19/2018 13:05,T32007.12--04 Write_Prod_Id ja muut id-kirjoitukset failaa usein,Lisatty viiveita Id-kirjoitukseen.,JLa,11/19/2018 13:05
1571,630,11/9/2018 14:46,"T32001.01--B8 jannitemittaukset menee joskus (aika harvoin) error-tilaan, vaikka mittaus on rajoissa.",Mittausviiveita saadetty. Seurataan tilannetta.,JLa,11/9/2018 14:46
1565,630,10/30/2018 10:56,ongelma: FPGA:n lataus ei toimi T32004.02...06 eika T32003.11...A7  ,"Vaara Lattice kaapeli oli kytkettyna PC:n usb-portissa. Kaapeli oli jaanyt vaihtamatta, kun oli testattu proto CU Eth kortteja. Tama on korjattu testerille 30.10.2018. Kuittaus lokiin 6.11 // JLa ",MP 30.10.2018,11/6/2018 11:59
1568,630,11/5/2018 12:25,TDM-payload failaa yhdessa fixturessa,Johtuu fixturen apu-trunkin SW paivityksesta. Kaikkia fixturessa testattavia tuotteita ja versioita ei ole viela kayty lapi.,JLa,11/5/2018 12:25
1563,595,10/17/2018 8:24,Kameran kuva epatarkka,"focuksen lukitus loystynyt, kameran focusta saadetty ja lukitus kiristetty",M.Kallio,10/17/2018 8:24
1535,595,9/20/2018 13:09,"Kone temppuilee ja jumittaa kesken testin, lyo turvareletta paalle, testi pysahtyy. Master calibrointi jumitti myos probe #1 kiskon puoleen valiin liikerataa. Ei anna anturihalytysta.","Tuntematon vika, irrotettu ja putsattu kaikki probe 1 kiskoon liittyvat anturit, toimii ainakin toistaiseksi, seurataan.",M.Kallio,9/20/2018 13:09
1534,595,9/20/2018 13:05,Mittavirhetta testeissa,"Probe #1 karki poikki, vaihdettu OK",M.Kallio,9/20/2018 13:05
1529,630,9/3/2018 14:52,T32003.11--A6 E1-BER mittaus ei toimi,Fixture ei tunnistanut UUT:ia. Setup piti ajaa muutaman kerran kunnes yhteys alkoi taas toimia.,JLa,9/3/2018 14:52
1526,630,8/30/2018 14:02,T32003.01--A5 ja T32003.11--A6 FPGA-lataus ei toiminut osassa kortteja. Fpga-lataus skipattu ja lataus tehty eri fixturessa.,Fixture takalevyssa vikaa. Skipit fpga-latauksista poistettu.,JLa,8/30/2018 14:02
1518,595,8/20/2018 14:25,Virheilee RC levyilla,Vaihdettu kaikki probet,M.Kallio,8/20/2018 14:25
1501,595,8/15/2018 8:04,"Testeri kaatuilee ja hukkaa valilla kameraa, PC:ta joutuu buuttailemaan usein.","kamerakortti vioittunut. Ep-Teq:lta tilattu uusi(kaytetty) Tos 3 Cognex kortti, vaihdettu, alkoi toimia.",M.Kallio,8/15/2018 8:04
1493,736,8/8/2018 14:46,Ei lahde testaamaan 9S-ACC-01-55 Exit Sensor Rev DC (DC) Fail code 04. Can't read PSN. Testeri pc kaytetty useaan kertaan alhaalla. Ei auta.,"Tarkastettu, etta verkot kunnossa, tehdasverkko seka yhteys 9S-serveriin telnetilla. Kuvat ja IP config tallessa desktopilla tarvittaessa. Kaikki usb kaapelit irti, sahkot pois testijigista seka HUOM myos usb-muuntajasta.  Lahti testaamaan tuotetta ja menivat lapi. Korjauksen jalkeen temppuili uudella lajimerkilla vastaavasti ja kaytatti kaikki usb:t irti ja sahkottomana ennenkuin lahti testaamaan.",Jouni Huttunen,8/8/2018 14:46
1485,630,7/25/2018 13:54,Ping-testi ei toimi lajimerkilla T32001.01--B7,Puhdistettu reitin liittimet PC- LAN router - fixturen liittimet ja kaapelien paat.,JRu,7/25/2018 13:54
1478,595,6/13/2018 9:46,31.05.2018 testeri huollettu,"Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA1, vaihdettu kaikki probet jaykempijousisiin VBM00374",M.Kallio,6/13/2018 9:46
1477,160,6/13/2018 9:44,31.05.2018 testeri huollettu ,"Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA1, vaihdettu kaikki probet",M.Kallio,6/13/2018 9:44
1469,630,5/23/2018 11:47,T32002.01 AE versio muutoksen jalkeen ei aina mennyt lapi 3V4 Overload testin alarajasta 1.5V.,"Pienenntty kuormavastusta 0.58ohm -> =0.53ohm   Lupa tutkia vikaa ja tehda muutos, DNWP testeri palaveri 310118 ",JRu,5/23/2018 11:47
1468,628,5/23/2018 11:43,T32007.12--04 puhaltimet (FAN1...4) ovat vaarassa jarjestyksessa. Vaikeuttanut vianhakua ja vaihdettu vaaria komponentteja.,Puhaltimien jarjestys korjattu.,JLa,5/23/2018 11:43
1457,736,4/17/2018 8:57,6.4.2018  IPC Flasherin  paivitetty  uudet softat  versio 2.2.1 ,"Testattu OK, tosin  testaus  enaa toimi ihan samalla tavalla kuin vanhalla softalla.",Petri Runonen,4/17/2018 8:57
1439,160,2/22/2018 10:56,Virheilya testeissa kaikilla tuotteilla,"probe #4 karki poikki, vaihdettu, alkoi toimia",M.Kallio,2/22/2018 10:56
1436,630,2/15/2018 8:47,"Ch 2 ei  toimi... reffi kortti on mallia Nokian valmistama eli tosi vanhaa versiota,mutta yksittais mittauksella kokeilin reffia ja tuotannon levya niin samanlailla kayttaytyy... Viallinen mittajono alla 000.802    PCM-4 Meas.Meas_A11_1kHz_Ch2        -70.71        -9.2        -8.4",Kakkoskanavan yksi joutosliitos mennyt poikki adapterikortin kaapeliliittimessa. Korjattu juottamalla.,JRu,2/15/2018 8:47
1435,160,2/14/2018 10:25,mittausvirheilya ja interface protection between axis 1 - 2 satunnaista virhetta,vaihdettu probet 1 ja 2 ,M.Kallio,2/14/2018 10:25
1425,595,12/11/2017 13:04,"mittausvirheita, kalibroinnissa havaittu probe #1:n tekevan vaarantyyppista kuviota kalirointitarraan","probe #1 karjesta murtunut viistottain pala, vaihdettu uusi, alkoi toimia",M.Kallio,12/11/2017 13:04
1424,595,12/11/2017 13:02,Tos3 Cognex vaihdettu,"TestLine tomitti uuden kortin, alkoi toimia",M.Kallio,12/11/2017 13:02
1422,595,12/1/2017 14:48,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu","Tos3 Cognex kortti temppuilee, tilattu uusi testlinelta",M.Kallio,12/1/2017 14:48
1423,160,12/1/2017 14:48,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu",kovalevysta otettu image verkkoon,M.Kallio,12/1/2017 14:48
1409,630,10/30/2017 12:13,Rloop mittaukset ja AD DA mittaukset ei toimineet ,GBIP yhteys ei toiminut W&G. Johtojen tarkistus ja W&G resetointi,JRu,10/30/2017 12:13
1405,595,10/18/2017 8:20,"mittaa n. 1 ohm liikaa pienempi arvoisilla vastuksilla, vika toistuu eri tuotteilla","probe #4 vaihdettu kaapeleineen, vika poistui",M.Kallio,10/18/2017 8:20
1393,630,9/29/2017 12:33,"Alarm kortti T32011.01--03 AnalogIF_120V ja AnalogIF3_3V ei toimi, tulos logissa lahelle 0V.",Tassa tapauksessa vika lahti PC:n buuttauksella. Vika voi johtua myos siita etta Analog interfacen 3.3V syottojohdossa on vikaa.,JLa,9/29/2017 12:33
1392,628,9/29/2017 11:56,T32007.01 ja T32009.01 ohjelmointi ei toiminut. Verify error. ,+5V poweri oli hajonnut. Ko poweri syotti jannitteita fixturen kytkin- ja driver piirikytkentoihin. ,JRu,9/29/2017 11:56
1390,595,9/26/2017 10:52,mittaa virheellisesti,"probe 4 kaapeli johdotettu erilailla, oli liian kirealla eika probe paassyt pohjaan asti",M.Kallio,9/26/2017 10:52
1389,160,9/26/2017 10:51,mittaa virheellisesti,vaihdettu probet 1 ja 4 seka probe 1 kaapeli,M.Kallio,9/26/2017 10:51
1383,630,9/15/2017 12:38,T32005.11--04 testeri ei toimi. Jaa check ic5AF kohtaan ja sen jalkeen TDM payload A ja B,Alteran SW-latausjohdon jannitte piuha NR14 pin7 irronut.,JRu,9/15/2017 12:38
1369,628,8/23/2017 8:00,Ei mene lapi fanit.. T32007.12  Jaa mittauksiin 000.500    FAN Control Version.FAN_Control_Version           000.501    Poll S10.Sensor_S10                               000.201    Test Min Load.Min_Load                            000.600    Read Fan1 Max.Max_Fan1_Speed  ---> COM portti ei toimi,Liitin fixturen takarajapinnassa painunut. Saadetty kohdalleen ja kiristetty.,JRu,8/23/2017 8:00
1368,595,8/21/2017 11:47,DC measuring board Takaya 9000/4D1 vaihdettu testeriin,OK,M.Kallio,8/21/2017 11:47
1365,160,8/16/2017 8:58,"CD asema ei toimi, kansi ei avaudu",Vaihdettu uusi CD asema,M.Kallio,8/16/2017 8:58
1366,595,8/16/2017 8:58,"kondensaattorimittaus virheilee testissa, signaali ei ole vakaa vaan sahaa, lisaksi 0 - 22R vastukset mittaa n. 3 ohm liikaa","kokeiltu probeswapit- NOK, vika sama kaikilla kombinaatioilla. Vika todennakoisimmin DC measuring board Takaya 9000/4D1 kortissa, tilattu uusi kortti Ep-Teq:ilta",M.Kallio,8/16/2017 8:58
1364,160,8/16/2017 8:53,"PC ei kaynnisty, on buuttiluupissa, windows logon jalkeen buuttaa itsekseen.","Kovalevy rikki, vaihdettu uusi ja palautettu image kesakuun varmuuskopiosta",M.Kallio,8/16/2017 8:53
1347,630,8/1/2017 11:57,ongelma  Ei kaynnisty,Poweri rikkoontunut. Vaihdettu uusi poweri.,,8/1/2017 11:57
1346,628,8/1/2017 11:56,ongelma< Ei kaynnisty. ,Kovalevy rikkoontunut,Jarkko Ruismaki,8/1/2017 11:56
1328,160,6/14/2017 12:37,"probe #1 poikki, pidike vaantynyt kieroon","proto yksikossa liian korkea komponentti, probe osui siihen ja rikkoutui, vaihdettu probe #1",M.Kallio,6/14/2017 12:37
1326,595,6/6/2017 15:34,testeri huollettu,"probe #1 vaihdettu, kovalevysta otettu varmuuskopiot verkkoon",M.Kallio,6/6/2017 15:34
1325,160,6/6/2017 15:21,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu",ohjelmat varmuuskopioitu verkkoon asemalle \\143.116.232.15\testerbackup rikkinainen power lamppu vaihdettu uuteen,M.Kallio,6/6/2017 15:21
1202,160,1/5/2017 12:41,2D Lukija puuttuu,Asennettu uusi 2D lukija koneeseen,M.Kallio,1/5/2017 12:41
1182,595,12/1/2016 15:56,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu","kaikki probet vaihdettu, interface protection SW 2-3 ei toiminut valoanturista, saadetty kiskoa -- alkoi toimia, kovalevysta otettu varmuuskopio verkkoon",M.Kallio,12/1/2016 15:56
1181,160,12/1/2016 15:54,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu","probet #1 ja #4 vaihdettu, kovalevysta otettu varmuuskopio verkkoon",M.Kallio,12/1/2016 15:54
1162,630,11/10/2016 7:36,Swift kaatuu T32001.01 Trunk kortilla,Vaihdettu ja lisatty 4G sisaista muistia. Ei korjannut ongelmaa kunnolla. Tutkimukset jatkuvat. ,JRu,11/10/2016 7:36
1134,630,9/7/2016 14:47,T32002.01--AD TDM-payload,COM-portti jumissa. PC:n joutuu kayttaan alhaalla.,JLa,9/7/2016 14:47
1133,630,9/7/2016 14:37,T32003.01/11 E1BER-mittaus ei toimi.,Trunk apu-kortin SFP-liitannan keltainen optinen kaapeli ei ole kunnolla kiinni.,JLa,9/7/2016 14:37
1124,595,9/1/2016 15:47,"Testeri ei toimi, antaa virhetta probe 4 moved to illegal area","diagnostiikka ohjelmalla tutkittu etta probe 4 homing signaali on paalla kokoajan, vika paikallistettu valoanturiin, jossa tarkemman tutkimisen jalkeen havaittu valuneen oljya, putsattu industolilla, alkoi toimia.",M. Kallio /KLH,9/1/2016 15:47
1092,595,7/19/2016 13:11,Testeri menee paalle mutta vihrea powerivalo ei syty etupaneeliin,"powervalon lamppu oli rikki, vaihdettu uusi, toimii",M. Kallio,7/19/2016 13:11
878,595,7/19/2016 13:11,Testeri menee paalle mutta vihrea powerivalo ei syty etupaneeliin,"powervalon lamppu oli rikki, vaihdettu uusi, toimii",M. Kallio,7/19/2016 13:11
1065,160,6/3/2016 15:22,"DC-CC mittaus ongelma, ratkaistu","uusi DC measuring board Takaya 9000/4D1 asennettu testeriin, 2,5 Ohmin heiluminen DC-CC vastusmittauksissa poistui. ",M. Kallio,6/3/2016 15:22
851,160,6/3/2016 15:22,"DC-CC mittaus ongelma, ratkaistu","uusi DC measuring board Takaya 9000/4D1 asennettu testeriin, 2,5 Ohmin heiluminen DC-CC vastusmittauksissa poistui. ",M. Kallio,6/3/2016 15:22
1064,630,6/2/2016 8:07,T32005.01  000.801 PCM-4 Meas.Meas_A11_1kHz_Ch1 -9.91         -9.5     -8.7    dBm ,Liitoskontaktivika fixture etumekaniikan alapuolella olevassa kaapelissa.,JRu,6/2/2016 8:07
850,630,6/2/2016 8:07,T32005.01 000.801 PCM-4 Meas.Meas_A11_1kHz_Ch1 -9.91         -9.5     -8.7    dBm ,Liitoskontaktivika fixture etumekaniikan alapuolella olevassa kaapelissa.,JRu,6/2/2016 8:07
1063,630,6/2/2016 8:02,T32001.01--B5 clear Eeprom,Com 1 oli jumissa.... joutui kayttamaan pc:n alhaalla.,JRu,6/2/2016 8:02
849,630,6/2/2016 8:02,T32001.01--B5 clear Eeprom,Com 1 oli jumissa.... joutui kayttamaan pc:n alhaalla.,JRu,6/2/2016 8:02
1062,630,6/2/2016 7:59,T32005.11...03,Lisatty viiveita koska apuyksikon SW oli paivitetty ja kaynnistysaika pidentynyt,JRu,6/2/2016 7:59
848,630,6/2/2016 7:59,T32005.11...03,Lisatty viiveita koska apuyksikon SW oli paivitetty ja kaynnistysaika pidentynyt,JRu,6/2/2016 7:59
1061,630,6/2/2016 7:50,"LFDNT32012.01--01, testausongelma",Protovika piirikaavio/ladonta. Maa ja jannite oikosulussa,JRu,6/2/2016 7:50
847,630,6/2/2016 7:50,"LFDNT32012.01--01, testausongelma",Protovika piirikaavio/ladonta. Maa ja jannite oikosulussa,JRu,6/2/2016 7:50
1060,630,6/2/2016 7:46,T32001.01--B5 program CPLD mittaus,Alteran latauskaapeli vaihdettu,JRu,6/2/2016 7:46
846,630,6/2/2016 7:46,T32001.01--B5 program CPLD mittaus,Alteran latauskaapeli vaihdettu,JRu,6/2/2016 7:46
1059,630,6/2/2016 7:43,ongelma  T32004.02 rikki .... G703 off  tai  .FrontPanel_TCLK                                            0         .FrontPanel_RCLK                                            0         .FrontPanel_BER                                             1234567   ,Korjattu etupaneelin relekortin rappilankaveto  ,JRu,6/2/2016 7:43
845,630,6/2/2016 7:43,ongelma T32004.02 rikki .... G703 off  tai   .FrontPanel_TCLK      0           .FrontPanel_RCLK    0           .FrontPanel_BER     1234567  ,Korjattu etupaneelin relekortin rappilankaveto  ,JRu,6/2/2016 7:43
1058,160,5/31/2016 16:43,yllapitohuolto,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu, kaikki probet vaihdettu, kovalevy varmuuskopioitu. DC measuring board Takaya 9000/4D1 viallinen, tilattu uusi Testline / UK:sta",M. Kallio / A.Alakiuttu,5/31/2016 16:43
844,160,5/31/2016 16:43,yllapitohuolto,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu, kaikki probet vaihdettu, kovalevy varmuuskopioitu. DC measuring board Takaya 9000/4D1 viallinen, tilattu uusi Testline / UK:sta",M. Kallio / A.Alakiuttu,5/31/2016 16:43
1057,595,5/31/2016 16:42,yllapitohuolto,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu, probet #1 ja #2 vaihdettu, kovalevy varmuuskopioitu ",M. Kallio / A.Alakiuttu,5/31/2016 16:42
843,595,5/31/2016 16:42,yllapitohuolto,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu, probet #1 ja #2 vaihdettu, kovalevy varmuuskopioitu ",M. Kallio / A.Alakiuttu,5/31/2016 16:42
1056,160,5/27/2016 9:25,"DC-CC moodin vastusmittausongelma jatkuu, lisaa n. 2,5 ohmia mittauksiin satunnaisesti ja aiheuttaa faileja pienemmille vastuksille. ","Vika paikallistettu kortille DC measurement card (9000-4D1). Kortista mitattu kaikki res, cap, ind, diod, vikaa kortista ei loydy. Uusi kortti hankittava, kyselty Testlinelta.",M. Kallio,5/27/2016 9:25
842,160,5/27/2016 9:25,"DC-CC moodin vastusmittausongelma jatkuu, lisaa n. 2,5 ohmia mittauksiin satunnaisesti ja aiheuttaa faileja pienemmille vastuksille. ","Vika paikallistettu kortille DC measurement card (9000-4D1). Kortista mitattu kaikki res, cap, ind, diod, vikaa kortista ei loydy. Uusi kortti hankittava, kyselty Testlinelta.",M. Kallio,5/27/2016 9:25
1055,595,5/27/2016 9:18,probet #3 ja #4 poikki ja pidikkeet vaantyneet kieroon,"testaaja laittanut vahingossa korkeakomponenttisen levyn vaarin pain koneeseen ja probet osuneet komponentteihin, vaihdettu probet ja pidikkeet",M. Kallio,5/27/2016 9:18
841,595,5/27/2016 9:18,probet #3 ja #4 poikki ja pidikkeet vaantyneet kieroon,"testaaja laittanut vahingossa korkeakomponenttisen levyn vaarin pain koneeseen ja probet osuneet komponentteihin, vaihdettu probet ja pidikkeet",M. Kallio,5/27/2016 9:18
